result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
11994,178,3,27,1,1,1,1,9.0,53,1:43:24.38,6204380,"","",\N,"",2024-07-10T19:27:23.644-07:00
11995,137,34,5,4,2,2,2,6.0,53,+24.59,6228970,"","",\N,"",2024-07-10T19:27:23.644-07:00
11996,177,56,21,13,3,3,3,4.0,53,+1:18.64,6283020,"","",\N,"",2024-07-10T19:27:23.644-07:00
11997,206,25,4,22,4,4,4,3.0,53,+1:23.48,6287860,"","",\N,"",2024-07-10T19:27:23.644-07:00
11998,152,51,23,20,5,5,5,2.0,52,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
11999,117,1,8,12,6,6,6,1.0,52,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12000,217,34,6,16,7,7,7,0.0,51,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12001,221,51,22,23,"",R,8,0.0,46,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12002,222,6,1,11,"",R,9,0.0,45,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12003,223,57,14,15,"",N,10,0.0,44,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12004,224,56,20,24,"",N,11,0.0,37,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12005,203,6,2,8,"",R,12,0.0,36,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12006,172,27,26,2,"",R,13,0.0,30,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12007,119,21,29,7,"",R,14,0.0,27,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12008,176,54,9,21,"",R,15,0.0,27,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12009,207,32,11,6,"",R,16,0.0,20,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12010,200,21,30,14,"",R,17,0.0,20,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12011,199,3,28,10,"",R,18,0.0,12,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12012,173,32,12,5,"",R,19,0.0,7,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12013,187,1,7,17,"",R,20,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12014,219,4,15,9,"",R,21,0.0,3,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12015,163,4,16,19,"",R,22,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12016,202,27,25,3,"",R,23,0.0,1,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12017,197,25,3,18,"",R,24,0.0,1,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12018,225,58,18,0,"",F,25,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12019,140,58,17,0,"",F,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12020,136,54,10,0,"",F,27,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
12021,158,45,31,0,"",F,28,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
