race_id,round,circuiit_id,name,race_timestamp,ingestion_date
404,1,36,Brazilian Grand Prix,"",2024-07-10T01:25:19.559-07:00
405,2,26,Spanish Grand Prix,"",2024-07-10T01:25:19.559-07:00
406,3,21,San Marino Grand Prix,"",2024-07-10T01:25:19.559-07:00
407,4,6,Monaco Grand Prix,"",2024-07-10T01:25:19.559-07:00
408,5,13,Belgian Grand Prix,"",2024-07-10T01:25:19.559-07:00
409,6,7,Canadian Grand Prix,"",2024-07-10T01:25:19.559-07:00
410,7,37,Detroit Grand Prix,"",2024-07-10T01:25:19.559-07:00
411,8,34,French Grand Prix,"",2024-07-10T01:25:19.559-07:00
412,9,38,British Grand Prix,"",2024-07-10T01:25:19.559-07:00
413,10,10,German Grand Prix,"",2024-07-10T01:25:19.559-07:00
414,11,11,Hungarian Grand Prix,"",2024-07-10T01:25:19.559-07:00
415,12,23,Austrian Grand Prix,"",2024-07-10T01:25:19.559-07:00
416,13,14,Italian Grand Prix,"",2024-07-10T01:25:19.559-07:00
417,14,27,Portuguese Grand Prix,"",2024-07-10T01:25:19.559-07:00
418,15,32,Mexican Grand Prix,"",2024-07-10T01:25:19.559-07:00
419,16,29,Australian Grand Prix,"",2024-07-10T01:25:19.559-07:00
