result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
20150,642,51,10,3,1,1,1,8.0,80,2:51:17.4,10277400,"","",\N,"",2024-07-10T19:27:23.644-07:00
20151,802,6,48,6,2,2,2,3.0,80,+1:18.6,10356000,"","",\N,"",2024-07-10T19:27:23.644-07:00
20152,786,51,36,5,3,3,3,4.0,80,+1:35.6,10373000,"","",\N,"",2024-07-10T19:27:23.644-07:00
20153,627,154,58,13,4,4,4,3.0,75,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20154,741,154,24,16,5,5,5,2.0,75,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20155,640,105,38,17,6,6,6,0.0,72,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20156,687,6,8,18,7,7,7,0.0,72,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20157,747,105,50,24,"",R,8,0.0,56,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20158,787,151,32,21,"",R,9,0.0,51,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20159,793,154,12,8,"",R,10,0.0,48,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20160,764,154,40,11,"",R,11,0.0,42,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20161,762,105,4,9,"",R,12,0.0,39,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20162,641,51,60,7,"",R,13,0.0,34,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20163,773,154,56,20,"",R,14,0.0,29,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20164,579,51,18,1,"",R,15,1.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20165,660,154,2,22,"",R,16,0.0,22,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20166,647,6,16,2,"",R,17,0.0,21,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20167,791,6,22,25,"",R,18,0.0,17,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20168,765,154,64,16,"",R,19,0.0,16,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20169,740,105,62,26,"",R,20,0.0,15,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20170,427,141,42,12,"",R,21,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20171,589,105,6,19,"",R,22,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20172,763,51,46,4,"",R,23,0.0,11,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20173,626,141,44,10,"",R,24,0.0,7,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20174,669,105,30,15,"",R,25,0.0,1,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20175,756,105,28,27,"",R,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20176,697,163,52,23,"",W,27,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20183,647,6,48,6,2,2,2,3.0,80,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20184,579,51,60,7,"",R,13,0.0,34,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
