result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
6306,102,1,1,3,1,1,1,10.0,77,1:46:19.216,6379216,"","",\N,"",2024-07-10T19:27:23.644-07:00
6307,95,3,5,2,2,2,2,6.0,77,+40.139,6419355,"","",\N,"",2024-07-10T19:27:23.644-07:00
6308,77,1,2,5,3,3,3,4.0,77,+50.782,6429998,"","",\N,"",2024-07-10T19:27:23.644-07:00
6309,57,32,11,16,4,4,4,3.0,77,+54.313,6433529,"","",\N,"",2024-07-10T19:27:23.644-07:00
6310,84,22,20,6,5,5,5,2.0,77,+57.498,6436714,"","",\N,"",2024-07-10T19:27:23.644-07:00
6311,122,6,28,10,6,6,6,1.0,76,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6312,105,29,9,7,7,7,7,0.0,75,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6313,110,25,4,19,8,8,8,0.0,75,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6314,108,37,17,17,9,9,9,0.0,74,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6315,127,17,33,21,10,10,10,0.0,73,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6316,71,34,8,25,11,11,11,0.0,73,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6317,30,22,19,4,"",R,12,0.0,63,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6318,119,3,6,1,"",R,13,0.0,55,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6319,94,35,22,26,"",R,14,0.0,40,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6320,79,33,30,20,"",R,15,0.0,35,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6321,55,6,27,9,"",R,16,0.0,14,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6322,92,33,29,15,"",R,17,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6323,88,29,10,14,"",R,18,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6324,129,25,3,22,"",R,19,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6325,91,37,16,23,"",R,20,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6326,131,17,32,24,"",R,21,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6327,128,36,14,18,"",R,22,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6328,123,27,25,8,"",R,23,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6329,100,27,26,11,"",R,24,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6330,99,36,15,12,"",R,25,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6331,65,32,12,13,"",R,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6332,81,18,24,0,"",F,27,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6333,109,35,21,0,"",F,28,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6334,70,18,23,0,"",F,29,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6335,90,38,34,0,"",F,30,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
6336,135,38,35,0,"",F,31,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
