race_id,round,circuiit_id,name,race_timestamp,ingestion_date
969,1,1,Australian Grand Prix,2017-03-26T05:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
970,2,17,Chinese Grand Prix,2017-04-09T06:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
971,3,3,Bahrain Grand Prix,2017-04-16T15:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
972,4,71,Russian Grand Prix,2017-04-30T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
973,5,4,Spanish Grand Prix,2017-05-14T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
974,6,6,Monaco Grand Prix,2017-05-28T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
975,7,7,Canadian Grand Prix,2017-06-11T18:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
976,8,73,Azerbaijan Grand Prix,2017-06-25T13:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
977,9,70,Austrian Grand Prix,2017-07-09T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
978,10,9,British Grand Prix,2017-07-16T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
979,11,11,Hungarian Grand Prix,2017-07-30T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
980,12,13,Belgian Grand Prix,2017-08-27T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
981,13,14,Italian Grand Prix,2017-09-03T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
982,14,15,Singapore Grand Prix,2017-09-17T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
983,15,2,Malaysian Grand Prix,2017-10-01T07:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
984,16,22,Japanese Grand Prix,2017-10-08T05:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
985,17,69,United States Grand Prix,2017-10-22T19:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
986,18,32,Mexican Grand Prix,2017-10-29T19:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
987,19,18,Brazilian Grand Prix,2017-11-12T16:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
988,20,24,Abu Dhabi Grand Prix,2017-11-26T13:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
