race_id,round,circuiit_id,name,race_timestamp,ingestion_date
900,1,1,Australian Grand Prix,2014-03-16T06:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
901,2,2,Malaysian Grand Prix,2014-03-30T08:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
902,3,3,Bahrain Grand Prix,2014-04-06T15:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
903,4,17,Chinese Grand Prix,2014-04-20T07:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
904,5,4,Spanish Grand Prix,2014-05-11T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
905,6,6,Monaco Grand Prix,2014-05-25T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
906,7,7,Canadian Grand Prix,2014-06-08T18:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
907,8,70,Austrian Grand Prix,2014-06-22T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
908,9,9,British Grand Prix,2014-07-06T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
909,10,10,German Grand Prix,2014-07-20T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
910,11,11,Hungarian Grand Prix,2014-07-27T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
911,12,13,Belgian Grand Prix,2014-08-24T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
912,13,14,Italian Grand Prix,2014-09-07T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
913,14,15,Singapore Grand Prix,2014-09-21T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
914,15,22,Japanese Grand Prix,2014-10-05T06:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
915,16,71,Russian Grand Prix,2014-10-12T11:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
916,17,69,United States Grand Prix,2014-11-02T20:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
917,18,18,Brazilian Grand Prix,2014-11-09T16:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
918,19,24,Abu Dhabi Grand Prix,2014-11-23T13:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
