result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
10467,182,1,8,3,1,1,1,9.0,71,1:29:28.532,5368532,"","",\N,"",2024-07-10T19:27:23.644-07:00
10468,118,4,16,6,2,2,2,6.0,71,+42.123,5410655,"","",\N,"",2024-07-10T19:27:23.644-07:00
10469,102,53,19,7,3,3,3,4.0,71,+1:03.328,5431860,"","",\N,"",2024-07-10T19:27:23.644-07:00
10470,173,32,11,4,4,4,4,3.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10471,105,6,27,9,5,5,5,2.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10472,163,6,28,13,6,6,6,1.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10473,137,34,1,1,7,7,7,0.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10474,175,4,15,10,8,8,8,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10475,160,45,24,21,9,9,9,0.0,68,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10476,110,27,26,19,10,10,10,0.0,68,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10477,176,21,17,15,11,11,11,0.0,67,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10478,119,51,22,17,12,12,12,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10479,185,25,4,26,"",D,13,0.0,68,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10480,179,52,21,22,"",N,14,0.0,62,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10481,183,27,25,20,"",R,15,0.0,43,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10482,117,1,7,2,"",R,16,0.0,37,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10483,95,32,12,8,"",R,17,0.0,24,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10484,123,21,18,12,"",R,18,0.0,24,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10485,172,3,5,16,"",R,19,0.0,14,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10486,156,50,10,23,"",R,20,0.0,10,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10487,170,34,2,14,"",R,21,0.0,9,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10488,181,54,14,11,"",R,22,0.0,8,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10489,177,3,6,5,"",R,23,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10490,140,25,3,25,"",D,24,0.0,1,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10491,158,51,23,18,"",R,25,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10492,112,50,9,24,"",R,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10493,189,45,30,27,"",R,27,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
10494,188,53,20,0,"",F,28,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
