race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Daniel Ricciardo,3,Australian,Renault,8,57,+10.417,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Sergio Pérez,11,Mexican,Racing Point,4,52,+30.558,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Sergio Pérez,11,Mexican,Racing Point,9,58,+16.070,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Charles Leclerc,16,Monegasque,Ferrari,4,66,+1:05.312,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Daniil Kvyat,26,Russian,AlphaTauri,8,62,+15.141,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Charles Leclerc,16,Monegasque,Ferrari,12,47,+33.858,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Lando Norris,4,British,McLaren,9,53,+11.337,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Carlos Sainz,55,Spanish,McLaren,8,80,+12.580,12.0,4,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Alexander Albon,23,Thai,Red Bull,5,42,+19.987,12.0,4,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Charles Leclerc,16,Monegasque,Ferrari,8,50,+1:09.107,11.0,5,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Pierre Gasly,10,French,Red Bull,8,72,+9.946,11.0,5,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Sebastian Vettel,5,German,Ferrari,7,53,+1:02.796,11.0,5,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Charles Leclerc,16,Monegasque,Ferrari,5,58,+58.203,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Sebastian Vettel,5,German,Ferrari,2,43,+36.068,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Charles Leclerc,16,Monegasque,Ferrari,4,45,+31.276,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Charles Leclerc,16,Monegasque,Ferrari,5,57,+13.361,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Max Verstappen,33,Dutch,Red Bull,9,67,+57.655,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Lewis Hamilton,44,British,Mercedes,4,69,+22.805,10.0,5,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Max Verstappen,33,Dutch,Red Bull,4,45,+39.458,10.0,5,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Carlos Sainz,55,Spanish,McLaren,7,63,+9.583,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Carlos Sainz,55,Spanish,McLaren,8,66,\N,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Alexander Albon,23,Thai,Red Bull,17,41,+1:21.325,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Nico Hülkenberg,27,German,Renault,6,53,+58.165,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Valtteri Bottas,77,Finnish,Mercedes,5,58,+6.119,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Alexander Albon,23,Thai,Red Bull,0,50,+38.348,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Carlos Sainz,55,Spanish,McLaren,7,46,+1:09.101,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Alexander Albon,23,Thai,Red Bull,5,48,+21.399,10.0,5,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Alexander Albon,23,Thai,Red Bull,6,42,+1:18.038,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Antonio Giovinazzi,99,Italian,Alfa Romeo,12,49,+10.201,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Sebastian Vettel,5,German,Ferrari,4,55,+1:04.357,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Carlos Sainz,55,Spanish,McLaren,8,63,+8.903,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Lando Norris,4,British,McLaren,9,66,+1:01.470,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Alexander Albon,23,Thai,Red Bull,13,68,+1:18.316,10.0,5,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Lando Norris,4,British,McLaren,5,41,+22.277,10.0,5,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Alexander Albon,23,Thai,Red Bull,9,46,+39.146,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Sergio Pérez,11,Mexican,Racing Point,4,58,\N,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Esteban Ocon,31,French,Renault,6,44,+40.650,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Valtteri Bottas,77,Finnish,Mercedes,2,51,+7.108,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Sergio Pérez,11,Mexican,Racing Point,7,59,+15.650,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Daniel Ricciardo,3,Australian,Renault,5,53,+52.065,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Carlos Sainz,55,Spanish,McLaren,10,53,+21.905,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Pierre Gasly,10,French,AlphaTauri,9,65,\N,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Charles Leclerc,16,Monegasque,Ferrari,7,62,+19.111,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Carlos Sainz,55,Spanish,McLaren,15,56,+34.363,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Carlos Sainz,55,Spanish,McLaren,15,46,+11.787,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Daniel Ricciardo,3,Australian,Renault,7,57,+13.330,10.0,5,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Lando Norris,4,British,McLaren,4,53,+1:00.729,10.0,5,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Pierre Gasly,10,French,Red Bull,6,55,+1:29.307,9.0,6,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Kevin Magnussen,20,Danish,Haas F1 Team,7,56,+1:27.156,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Lando Norris,4,British,McLaren,9,14,+45.754,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Sergio Pérez,11,Mexican,Racing Point,5,49,+1:16.416,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Pierre Gasly,10,French,Red Bull,6,57,+19.576,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Carlos Sainz,55,Spanish,McLaren,9,32,+53.454,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Daniel Ricciardo,3,Australian,Renault,4,55,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Carlos Sainz,55,Spanish,McLaren,6,52,+1:35.462,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Lando Norris,4,British,McLaren,5,69,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Carlos Sainz,55,Spanish,McLaren,13,50,+53.639,8.0,6,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Alexander Albon,23,Thai,Toro Rosso,16,63,+10.052,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Pierre Gasly,10,French,Red Bull,6,65,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Sergio Pérez,11,Mexican,Racing Point,7,29,+1:24.448,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Alexander Albon,23,Thai,Red Bull,8,45,+59.315,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Alexander Albon,23,Thai,Red Bull,6,59,+11.663,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Carlos Sainz,55,Spanish,McLaren,5,53,+45.889,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Charles Leclerc,16,Monegasque,Ferrari,2,48,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Max Verstappen,33,Dutch,Red Bull,4,65,+1:08.807,8.0,6,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Daniel Ricciardo,3,Australian,Renault,9,28,+1:30.366,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Daniel Ricciardo,3,Australian,Renault,11,44,+10.541,8.0,6,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Alexander Albon,23,Thai,Red Bull,5,49,+1:09.205,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Sergio Pérez,11,Mexican,Racing Point,6,63,+15.092,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Sergio Pérez,11,Mexican,Racing Point,17,68,+1:02.387,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Sebastian Vettel,5,German,Ferrari,5,49,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Esteban Ocon,31,French,Renault,9,50,+26.937,8.0,6,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Lance Stroll,18,Canadian,Racing Point,6,45,+42.538,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Carlos Sainz,55,Spanish,McLaren,7,59,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Alexander Albon,23,Thai,Red Bull,5,27,+42.712,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Daniel Ricciardo,3,Australian,Renault,7,38,+8.391,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Lando Norris,4,British,McLaren,11,59,+18.883,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Charles Leclerc,16,Monegasque,Ferrari,10,47,+1:02.186,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Pierre Gasly,10,French,AlphaTauri,12,53,+22.766,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Carlos Sainz,55,Spanish,McLaren,7,65,\N,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Sergio Pérez,11,Mexican,Racing Point,11,49,+19.652,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Max Verstappen,33,Dutch,Red Bull,2,53,+44.873,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Pierre Gasly,10,French,AlphaTauri,8,48,+11.942,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Alexander Albon,23,Thai,Red Bull,12,52,+13.842,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Carlos Sainz,55,Spanish,McLaren,6,48,+1:05.662,8.0,6,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Lewis Hamilton,44,British,Mercedes,1,34,+17.245,7.0,7,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Daniel Ricciardo,3,Australian,Renault,11,55,+1:13.748,7.0,7,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Nico Hülkenberg,27,German,Renault,11,52,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Kimi Räikkönen,7,Finnish,Alfa Romeo,8,45,+47.470,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Daniel Ricciardo,3,Australian,Renault,7,38,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Carlos Sainz,55,Spanish,McLaren,9,43,+1:23.826,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Kevin Magnussen,20,Danish,Haas F1 Team,8,66,+28.159,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Daniil Kvyat,26,Russian,Toro Rosso,7,31,+54.574,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Nico Hülkenberg,27,German,Renault,7,57,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Kimi Räikkönen,7,Finnish,Alfa Romeo,12,47,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Pierre Gasly,10,French,Red Bull,8,63,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Daniel Ricciardo,3,Australian,Renault,7,50,+54.401,6.0,7,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Romain Grosjean,8,French,Haas F1 Team,6,55,+16.838,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Kimi Räikkönen,7,Finnish,Alfa Romeo,10,65,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Daniil Kvyat,26,Russian,Toro Rosso,19,26,+1:29.657,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Sergio Pérez,11,Mexican,Racing Point,18,35,+1:13.802,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Lando Norris,4,British,McLaren,9,58,+14.769,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Sergio Pérez,11,Mexican,Racing Point,11,49,+48.728,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Pierre Gasly,10,French,Toro Rosso,9,43,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Sergio Pérez,11,Mexican,Racing Point,11,70,+1:13.819,6.0,7,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Lando Norris,4,British,McLaren,8,44,+1:30.764,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Lewis Hamilton,44,British,Mercedes,3,46,+11.139,6.0,7,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Sergio Pérez,11,Mexican,Racing Point,10,39,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Pierre Gasly,10,French,AlphaTauri,12,64,+16.682,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Lance Stroll,18,Canadian,Racing Point,12,65,+1:02.453,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Sergio Pérez,11,Mexican,Racing Point,4,39,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Pierre Gasly,10,French,AlphaTauri,11,52,+31.188,6.0,7,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Nico Hülkenberg,27,German,Racing Point,3,52,+55.951,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Sebastian Vettel,5,German,Ferrari,11,48,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Lando Norris,4,British,McLaren,10,39,+43.774,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Daniil Kvyat,26,Russian,AlphaTauri,12,51,+21.756,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Esteban Ocon,31,French,Renault,7,48,+1:08.006,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Charles Leclerc,16,Monegasque,Ferrari,4,54,+30.814,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Sergio Pérez,11,Mexican,Racing Point,5,49,\N,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Carlos Sainz,55,Spanish,McLaren,10,62,+20.230,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Alexander Albon,23,Thai,Red Bull,4,54,+46.484,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Daniel Ricciardo,3,Australian,Renault,6,38,+19.368,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Daniil Kvyat,26,Russian,AlphaTauri,6,80,+14.534,6.0,7,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Lando Norris,4,British,McLaren,14,58,+1:01.259,5.0,8,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Kimi Räikkönen,7,Finnish,Alfa Romeo,9,52,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Pierre Gasly,10,French,Red Bull,13,42,+58.094,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Sergio Pérez,11,Mexican,Racing Point,12,37,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Lando Norris,4,British,McLaren,7,43,+1:40.268,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Carlos Sainz,55,Spanish,McLaren,12,59,+32.342,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Alexander Albon,23,Thai,Toro Rosso,10,43,+55.200,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Pierre Gasly,10,French,Red Bull,5,51,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Nico Hülkenberg,27,German,Renault,13,46,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Carlos Sainz,55,Spanish,McLaren,19,53,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Kimi Räikkönen,7,Finnish,Alfa Romeo,12,51,+1:05.540,4.0,8,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Kevin Magnussen,20,Danish,Haas F1 Team,12,62,+18.765,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Valtteri Bottas,77,Finnish,Mercedes,2,59,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Nico Hülkenberg,27,German,Renault,12,34,+1:46.639,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Max Verstappen,33,Dutch,Red Bull,19,41,+1:14.492,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Pierre Gasly,10,French,Toro Rosso,11,58,+15.547,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Lando Norris,4,British,McLaren,7,52,+57.749,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Sergio Pérez,11,Mexican,Racing Point,17,46,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Daniel Ricciardo,3,Australian,Renault,13,53,+1:14.924,4.0,8,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Carlos Sainz,55,Spanish,McLaren,7,44,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Lando Norris,4,British,McLaren,10,63,+11.204,4.0,8,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Lando Norris,4,British,McLaren,6,50,\N,4.0,8,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Esteban Ocon,31,French,Renault,14,64,+17.456,4.0,8,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Daniel Ricciardo,3,Australian,Renault,8,65,+1:02.591,4.0,8,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Daniel Ricciardo,3,Australian,Renault,11,46,\N,4.0,8,2024-07-12T11:40:19.668-07:00
