race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Lewis Hamilton,44,British,Mercedes,1,45,1:28:01.283,25.0,1,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Max Verstappen,33,Dutch,Red Bull,4,46,1:19:41.993,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Lewis Hamilton,44,British,Mercedes,1,63,1:31:45.279,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Lewis Hamilton,44,British,Mercedes,1,28,1:24:08.761,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Pierre Gasly,10,French,AlphaTauri,10,34,1:47:06.056,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Lewis Hamilton,44,British,Mercedes,2,58,1:35:49.641,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Lewis Hamilton,44,British,Mercedes,6,56,1:42:19.313,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Lewis Hamilton,44,British,Mercedes,1,38,2:59:47.515,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Sergio Pérez,11,Mexican,Racing Point,5,69,1:31:15.114,25.0,1,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Max Verstappen,33,Dutch,Red Bull,1,14,1:36:28.645,25.0,1,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Max Verstappen,33,Dutch,Red Bull,1,69,+17.796,19.0,2,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Max Verstappen,33,Dutch,Red Bull,3,52,+5.856,19.0,2,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Lewis Hamilton,44,British,Mercedes,2,43,+11.326,19.0,2,2024-07-12T11:40:19.668-07:00
