race_id,round,circuiit_id,name,race_timestamp,ingestion_date
1,1,1,Australian Grand Prix,2009-03-29T06:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
2,2,2,Malaysian Grand Prix,2009-04-05T09:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
3,3,17,Chinese Grand Prix,2009-04-19T07:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
4,4,3,Bahrain Grand Prix,2009-04-26T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
5,5,4,Spanish Grand Prix,2009-05-10T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
6,6,6,Monaco Grand Prix,2009-05-24T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
7,7,5,Turkish Grand Prix,2009-06-07T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
8,8,9,British Grand Prix,2009-06-21T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
9,9,20,German Grand Prix,2009-07-12T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
10,10,11,Hungarian Grand Prix,2009-07-26T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
11,11,12,European Grand Prix,2009-08-23T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
12,12,13,Belgian Grand Prix,2009-08-30T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
13,13,14,Italian Grand Prix,2009-09-13T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
14,14,15,Singapore Grand Prix,2009-09-27T12:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
15,15,22,Japanese Grand Prix,2009-10-04T05:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
16,16,18,Brazilian Grand Prix,2009-10-18T16:00:00.000-07:00,2024-07-10T01:25:19.559-07:00
17,17,24,Abu Dhabi Grand Prix,2009-11-01T11:00:00.000-08:00,2024-07-10T01:25:19.559-07:00
