result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
18896,475,105,28,2,1,1,1,8.0,100,3:00:32.9,10832900,"","",\N,"",2024-07-10T19:27:23.644-07:00
18897,581,6,26,9,2,2,2,3.0,100,+6.1,10839000,"","",\N,"",2024-07-10T19:27:23.644-07:00
18898,554,105,30,4,3,3,3,4.0,99,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18899,579,6,20,1,4,4,4,1.5,99,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18900,624,128,6,14,5,5,5,2.0,93,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18901,625,128,4,11,6,6,6,0.0,88,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18902,607,105,32,7,7,7,7,0.0,86,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18903,547,105,18,16,8,8,8,0.0,85,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18904,626,128,2,12,"",R,9,0.0,90,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18905,627,105,8,15,"",R,10,0.0,72,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18906,608,6,22,3,"",R,11,0.0,14,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18907,427,118,14,6,"",R,12,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18908,501,118,16,5,"",R,13,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18909,577,6,24,8,"",R,14,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18910,483,6,36,0,"",F,15,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18911,578,66,10,0,"",W,16,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18912,479,66,12,0,"",W,17,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18913,589,105,34,0,"",W,18,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20270,579,6,26,9,2,2,2,4.0,100,+6.1,10839000,"","",\N,"",2024-07-10T19:27:23.644-07:00
20271,608,6,20,1,4,4,4,1.5,99,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
20272,429,128,4,11,6,6,6,0.0,88,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
