result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
1655,30,6,1,6,1,1,1,10.0,70,1:28:24.803,5304803,18,2,1:13.630,213.222,2024-07-10T19:27:23.644-07:00
1656,22,6,2,7,2,2,2,8.0,70,+5.108,5309911,68,1,1:13.622,213.246,2024-07-10T19:27:23.644-07:00
1657,18,16,9,2,3,3,3,6.0,70,+20.409,5325212,68,5,1:14.246,211.453,2024-07-10T19:27:23.644-07:00
1658,21,15,11,11,4,4,4,5.0,69,\N,"",47,9,1:15.078,209.11,2024-07-10T19:27:23.644-07:00
1659,8,1,6,8,5,5,5,4.0,69,\N,"",44,7,1:14.752,210.022,2024-07-10T19:27:23.644-07:00
1660,14,1,5,9,6,6,6,3.0,69,\N,"",55,10,1:15.478,208.002,2024-07-10T19:27:23.644-07:00
1661,10,17,19,16,7,7,7,2.0,68,\N,"",42,16,1:16.300,205.761,2024-07-10T19:27:23.644-07:00
1662,2,17,18,15,8,8,8,1.0,68,\N,"",18,14,1:15.890,206.873,2024-07-10T19:27:23.644-07:00
1663,32,19,15,10,9,9,9,0.0,67,\N,"",45,13,1:15.731,207.307,2024-07-10T19:27:23.644-07:00
1664,47,18,21,18,10,10,10,0.0,66,\N,"",64,18,1:17.516,202.533,2024-07-10T19:27:23.644-07:00
1665,13,15,12,17,"",R,11,0.0,62,\N,"",25,11,1:15.560,207.776,2024-07-10T19:27:23.644-07:00
1666,11,16,10,20,"",R,12,0.0,48,\N,"",25,8,1:15.076,209.116,2024-07-10T19:27:23.644-07:00
1667,4,4,8,5,"",R,13,0.0,44,\N,"",41,4,1:14.179,211.644,2024-07-10T19:27:23.644-07:00
1668,46,18,20,19,"",R,14,0.0,30,\N,"",25,19,1:18.025,201.212,2024-07-10T19:27:23.644-07:00
1669,17,19,14,14,"",R,15,0.0,6,\N,"",6,17,1:16.739,204.584,2024-07-10T19:27:23.644-07:00
1670,15,4,7,3,"",R,16,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
1671,23,3,4,1,"",D,17,0.0,70,\N,"",70,3,1:14.040,212.042,2024-07-10T19:27:23.644-07:00
1672,31,3,3,4,"",D,18,0.0,70,\N,"",69,6,1:14.295,211.314,2024-07-10T19:27:23.644-07:00
1673,43,7,16,12,"",D,19,0.0,69,\N,"",39,12,1:15.652,207.523,2024-07-10T19:27:23.644-07:00
1674,44,7,17,13,"",D,20,0.0,69,\N,"",23,15,1:16.045,206.451,2024-07-10T19:27:23.644-07:00
