result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
15000,328,25,3,16,1,1,1,9.0,79,1:43:11.07,6191070,"","",\N,"",2024-07-10T19:27:23.644-07:00
15001,309,1,6,6,2,2,2,6.0,79,+24.55,6215620,"","",\N,"",2024-07-10T19:27:23.644-07:00
15002,224,32,1,2,3,3,3,4.0,79,+25.06,6216130,"","",\N,"",2024-07-10T19:27:23.644-07:00
15003,232,6,9,15,4,4,4,3.0,78,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15004,304,1,5,1,5,5,5,2.0,77,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15005,332,58,23,21,6,6,6,1.0,77,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15006,199,34,18,8,7,7,7,0.0,77,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15007,333,63,12,20,8,8,8,0.0,77,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15008,222,1,7,3,9,9,9,0.0,75,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15009,307,80,21,19,10,10,10,0.0,73,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15010,238,32,2,4,11,11,11,0.0,73,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15011,250,63,11,9,"",R,12,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15012,292,25,26,22,"",N,13,0.0,67,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15013,197,37,14,18,"",N,14,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15014,327,25,4,25,"",N,15,0.0,66,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15015,329,37,24,23,"",N,16,0.0,65,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15016,290,34,19,17,"",R,17,0.0,52,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15017,334,80,20,24,"",R,18,0.0,35,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15018,182,66,17,10,"",R,19,0.0,26,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15019,262,58,22,14,"",R,20,0.0,14,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15020,306,66,16,7,"",R,21,0.0,4,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15021,293,32,25,13,"",R,22,0.0,3,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15022,223,66,15,5,"",R,23,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15023,235,6,8,11,"",R,24,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
15024,305,63,10,12,"",R,25,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
