result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
13678,222,59,20,9,1,1,1,9.0,80,1:40:00.0,6000000,"","",\N,"",2024-07-10T19:27:23.644-07:00
13679,221,25,4,6,2,2,2,6.0,80,+6.77,6006770,"","",\N,"",2024-07-10T19:27:23.644-07:00
13680,200,1,2,5,3,3,3,4.0,80,+15.76,6015760,"","",\N,"",2024-07-10T19:27:23.644-07:00
13681,178,58,17,7,4,4,4,3.0,80,+46.69,6046690,"","",\N,"",2024-07-10T19:27:23.644-07:00
13682,175,57,23,16,5,5,5,2.0,80,+1:03.26,6063260,"","",\N,"",2024-07-10T19:27:23.644-07:00
13683,230,63,19,15,6,6,6,1.0,78,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13684,240,67,14,22,7,7,7,0.0,78,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13685,237,37,9,23,8,8,8,0.0,78,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13686,207,32,5,1,9,9,9,0.0,77,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13687,119,58,16,8,10,10,10,0.0,76,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13688,239,1,30,20,11,11,11,0.0,76,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13689,203,6,21,17,12,12,12,0.0,76,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13690,231,1,1,2,"",R,13,0.0,61,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13691,258,37,27,21,"",R,14,0.0,56,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13692,238,25,3,3,"",R,15,0.0,34,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13693,211,64,24,25,"",R,16,0.0,32,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13694,246,63,18,24,"",R,17,0.0,31,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13695,251,37,10,18,"",R,18,0.0,29,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13696,224,56,28,19,"",R,19,0.0,29,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13697,199,6,12,12,"",R,20,0.0,20,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13698,233,34,8,13,"",R,21,0.0,19,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13699,255,32,6,4,"",R,22,0.0,17,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13700,172,27,26,11,"",R,23,0.0,12,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13701,187,34,7,10,"",R,24,0.0,1,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13702,223,57,22,14,"",R,25,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13703,270,64,25,0,"",W,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
13704,219,4,15,0,"",F,27,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
