result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
2305,30,6,1,3,1,1,1,10.0,71,1:33:51.562,5631562,"","",\N,"",2024-07-10T19:27:23.644-07:00
2306,22,6,2,1,2,2,2,6.0,71,+0.182,5631744,"","",\N,"",2024-07-10T19:27:23.644-07:00
2307,31,3,6,4,3,3,3,4.0,71,+17.730,5649292,"","",\N,"",2024-07-10T19:27:23.644-07:00
2308,23,3,5,2,4,4,4,3.0,71,+18.448,5650010,"","",\N,"",2024-07-10T19:27:23.644-07:00
2309,21,17,9,15,5,5,5,2.0,71,+49.965,5681527,"","",\N,"",2024-07-10T19:27:23.644-07:00
2310,14,1,3,8,6,6,6,1.0,71,+50.672,5682234,"","",\N,"",2024-07-10T19:27:23.644-07:00
2311,18,4,15,13,7,7,7,0.0,71,+51.229,5682791,"","",\N,"",2024-07-10T19:27:23.644-07:00
2312,63,7,24,10,8,8,8,0.0,71,+1:09.425,5700987,"","",\N,"",2024-07-10T19:27:23.644-07:00
2313,66,7,25,14,9,9,9,0.0,71,+1:09.718,5701280,"","",\N,"",2024-07-10T19:27:23.644-07:00
2314,35,16,11,17,10,10,10,0.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2315,49,21,20,11,11,11,11,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2316,17,18,23,21,12,12,12,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2317,15,4,14,16,"",R,13,0.0,44,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2318,62,18,22,22,"",R,14,0.0,42,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2319,56,19,16,20,"",R,15,0.0,38,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2320,2,15,7,5,"",R,16,0.0,27,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2321,11,17,10,18,"",R,17,0.0,26,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2322,44,16,12,9,"",R,18,0.0,22,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2323,13,15,8,7,"",R,19,0.0,7,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2324,8,1,4,6,"",R,20,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2325,59,21,21,12,"",R,21,0.0,2,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
2326,37,19,17,19,"",R,22,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
