result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
16019,358,32,5,1,1,1,1,9.0,80,1:57:02.0,7022000,"","",\N,"",2024-07-10T19:27:23.644-07:00
16020,356,34,17,2,2,2,2,6.0,80,+32.9,7054900,"","",\N,"",2024-07-10T19:27:23.644-07:00
16021,304,187,9,5,3,3,3,4.0,80,+54.4,7076400,"","",\N,"",2024-07-10T19:27:23.644-07:00
16022,223,6,4,6,4,4,4,3.0,80,+54.8,7076800,"","",\N,"",2024-07-10T19:27:23.644-07:00
16023,278,37,16,17,5,5,5,2.0,79,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16024,289,32,14,22,6,6,6,1.0,79,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16025,327,37,2,14,7,7,7,0.0,79,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16026,224,32,28,21,8,8,8,0.0,78,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16027,238,37,27,13,9,9,9,0.0,72,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16028,353,32,29,23,"",N,10,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16029,364,187,32,11,"",R,11,0.0,60,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16030,345,66,22,15,"",R,12,0.0,58,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16031,262,66,23,4,"",R,13,0.0,54,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16032,328,37,1,8,"",R,14,0.0,52,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16033,341,63,20,19,"",R,15,0.0,51,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16034,280,82,8,12,"",R,16,0.0,41,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16035,306,82,7,10,"",R,17,0.0,24,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16036,207,37,26,9,"",R,18,0.0,21,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16037,346,37,15,20,"",R,19,0.0,19,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16038,357,32,6,7,"",R,20,0.0,15,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16039,352,66,24,16,"",R,21,0.0,10,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16040,235,6,3,3,"",R,22,0.0,6,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
16041,333,198,11,18,"",R,23,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
