race_id,round,circuiit_id,name,race_timestamp,ingestion_date
124,1,1,Australian Grand Prix,"",2024-07-10T01:25:19.559-07:00
125,2,2,Malaysian Grand Prix,"",2024-07-10T01:25:19.559-07:00
126,3,18,Brazilian Grand Prix,"",2024-07-10T01:25:19.559-07:00
127,4,21,San Marino Grand Prix,"",2024-07-10T01:25:19.559-07:00
128,5,4,Spanish Grand Prix,"",2024-07-10T01:25:19.559-07:00
129,6,23,Austrian Grand Prix,"",2024-07-10T01:25:19.559-07:00
130,7,6,Monaco Grand Prix,"",2024-07-10T01:25:19.559-07:00
131,8,7,Canadian Grand Prix,"",2024-07-10T01:25:19.559-07:00
132,9,20,European Grand Prix,"",2024-07-10T01:25:19.559-07:00
133,10,9,British Grand Prix,"",2024-07-10T01:25:19.559-07:00
134,11,8,French Grand Prix,"",2024-07-10T01:25:19.559-07:00
135,12,10,German Grand Prix,"",2024-07-10T01:25:19.559-07:00
136,13,11,Hungarian Grand Prix,"",2024-07-10T01:25:19.559-07:00
137,14,13,Belgian Grand Prix,"",2024-07-10T01:25:19.559-07:00
138,15,14,Italian Grand Prix,"",2024-07-10T01:25:19.559-07:00
139,16,19,United States Grand Prix,"",2024-07-10T01:25:19.559-07:00
140,17,22,Japanese Grand Prix,"",2024-07-10T01:25:19.559-07:00
