result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
5609,102,1,8,3,1,1,1,10.0,71,1:51:15.485,6675485,"","",\N,"",2024-07-10T19:27:23.644-07:00
5610,71,3,0,2,2,2,2,6.0,71,+16.625,6692110,"","",\N,"",2024-07-10T19:27:23.644-07:00
5611,30,22,5,4,3,3,3,4.0,71,+45.436,6720921,"","",\N,"",2024-07-10T19:27:23.644-07:00
5612,65,32,12,12,4,4,4,3.0,71,+46.557,6722042,"","",\N,"",2024-07-10T19:27:23.644-07:00
5613,87,27,26,10,5,5,5,2.0,71,+52.127,6727612,"","",\N,"",2024-07-10T19:27:23.644-07:00
5614,70,32,11,15,6,6,6,1.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5615,112,33,19,11,7,7,7,0.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5616,55,6,27,9,8,8,8,0.0,70,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5617,118,29,9,18,9,9,9,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5618,100,33,20,17,10,10,10,0.0,69,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5619,105,26,21,25,11,11,11,0.0,68,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5620,69,26,22,21,12,12,12,0.0,68,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5621,91,15,29,8,"",R,13,0.0,61,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5622,109,15,30,7,"",R,14,0.0,52,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5623,110,25,4,23,"",R,15,0.0,48,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5624,117,3,2,1,"",R,16,0.0,29,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5625,104,18,23,20,"",R,17,0.0,28,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5626,88,29,10,19,"",R,18,0.0,27,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5627,79,25,3,22,"",R,19,0.0,26,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5628,22,17,14,14,"",R,20,0.0,13,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5629,119,22,6,6,"",R,21,0.0,3,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5630,121,1,7,5,"",R,22,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5631,77,6,28,13,"",R,23,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5632,84,27,25,16,"",R,24,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5633,120,18,24,24,"",R,25,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
5634,122,17,15,26,"",F,26,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
