result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
18576,479,118,4,5,1,1,1,8.0,24,1:37:06.3,5826300,"","",\N,"",2024-07-10T19:27:23.644-07:00
18577,578,6,16,1,2,2,2,7.0,24,+20.7,5847000,"","",\N,"",2024-07-10T19:27:23.644-07:00
18578,590,118,6,11,3,3,3,4.0,24,+3:00.9,6007200,"","",\N,"",2024-07-10T19:27:23.644-07:00
18579,477,32,40,12,4,4,4,3.0,24,+4:15.5,6081800,"","",\N,"",2024-07-10T19:27:23.644-07:00
18580,501,66,10,7,5,5,5,2.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18581,482,6,20,6,6,6,6,0.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18582,427,105,28,16,7,7,7,0.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18583,456,87,24,13,8,8,8,0.0,23,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18584,347,105,36,14,9,9,9,0.0,22,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18585,551,105,26,19,10,10,10,0.0,22,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18586,580,105,38,18,"",R,11,0.0,22,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18587,356,87,22,8,"",R,12,0.0,16,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18588,289,32,42,15,"",R,13,0.0,12,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18589,577,6,18,2,"",R,14,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18590,581,6,14,4,"",R,15,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18591,554,66,8,10,"",R,16,0.0,5,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18592,455,105,32,17,"",R,17,0.0,4,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18593,475,118,2,9,"",R,18,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
18594,418,105,30,3,"",R,19,0.0,0,\N,"","","",\N,"",2024-07-10T19:27:23.644-07:00
