result_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,ranks,fastest_lap_time,fastest_lap_speed,ingestion_date
1275,8,1,9,7,1,1,1,10.0,70,1:32:09.290,5529290,23,1,1:14.384,211.061,2024-07-10T19:27:23.644-07:00
1276,30,6,1,2,2,2,2,8.0,70,+1.1,5530390,32,4,1:14.868,209.697,2024-07-10T19:27:23.644-07:00
1277,22,6,2,20,3,3,3,6.0,70,+40.4,5569690,46,8,1:15.480,207.996,2024-07-10T19:27:23.644-07:00
1278,13,15,12,11,4,4,4,5.0,70,+55.1,5584390,18,13,1:16.008,206.551,2024-07-10T19:27:23.644-07:00
1279,17,3,7,14,5,5,5,4.0,70,+55.7,5584990,23,7,1:15.401,208.214,2024-07-10T19:27:23.644-07:00
1280,23,7,17,10,6,6,6,3.0,69,\N,"",44,10,1:15.827,207.044,2024-07-10T19:27:23.644-07:00
1281,14,9,14,12,7,7,7,2.0,69,\N,"",17,16,1:16.414,205.454,2024-07-10T19:27:23.644-07:00
1282,32,9,15,16,8,8,8,1.0,69,\N,"",46,15,1:16.299,205.764,2024-07-10T19:27:23.644-07:00
1283,35,15,11,8,9,9,9,0.0,69,\N,"",26,12,1:15.945,206.723,2024-07-10T19:27:23.644-07:00
1284,33,17,18,18,10,10,10,0.0,67,\N,"",19,18,1:17.344,202.984,2024-07-10T19:27:23.644-07:00
1285,27,18,21,15,11,11,11,0.0,67,\N,"",15,19,1:18.462,200.091,2024-07-10T19:27:23.644-07:00
1286,15,7,16,9,"",R,12,0.0,62,\N,"",43,11,1:15.872,206.922,2024-07-10T19:27:23.644-07:00
1287,18,16,3,1,"",R,13,0.0,46,\N,"",30,6,1:15.189,208.801,2024-07-10T19:27:23.644-07:00
1288,2,3,8,13,"",R,14,0.0,43,\N,"",20,9,1:15.752,207.249,2024-07-10T19:27:23.644-07:00
1289,11,16,4,6,"",R,15,0.0,40,\N,"",14,14,1:16.044,206.454,2024-07-10T19:27:23.644-07:00
1290,40,18,20,19,"",R,16,0.0,39,\N,"",33,20,1:18.709,199.463,2024-07-10T19:27:23.644-07:00
1291,4,4,5,3,"",R,17,0.0,38,\N,"",38,3,1:14.727,210.092,2024-07-10T19:27:23.644-07:00
1292,21,4,6,4,"",R,18,0.0,32,\N,"",24,5,1:14.890,209.635,2024-07-10T19:27:23.644-07:00
1293,39,17,19,17,"",R,19,0.0,24,\N,"",20,17,1:17.015,203.851,2024-07-10T19:27:23.644-07:00
1294,31,1,10,5,"",D,20,0.0,52,\N,"",24,2,1:14.576,210.518,2024-07-10T19:27:23.644-07:00
